Kollektion	Anzahl Titel	Anzahl Titel mit mindestens einer RVK-Notation	Anteil
ebcac1	187270	69141	36,92
degruyter4	80185	24073	30,02
cup2	37906	20673	54,54
alexanderStreet	23058	0	0,00
wiley3	21877	9913	45,31
elsevier4	18889	7041	37,28
linkedIn	18062	0	0,00
oup1	17633	10580	60,00
lynda	9822	0	0,00
taylorfrancis	6611	978	14,79
vr2	6478	2212	34,15
mohrsiebeck1	3986	3704	92,93
metzler	1810	36	1,99
igi_global	1241	145	11,68
cco1	718	685	95,40
MIT-Press	640	444	69,38
ZDB-72-SIA	574	396	68,99
ZDB-95-BOC	552	187	33,88
VorlassMette	524	108	20,61
Mor-Clay	500	97	19,40
nowt	454	24	5,29
degruyter1	446	392	87,89
cho1	406	344	84,73
ZDB-35-IWT	363	194	53,44
ZDB-20-CBO	329	267	81,16
cup1	329	267	81,16
elsevier3	321	173	53,89
ZDB-28-OSD	269	212	78,81
cys	269	212	78,81
wiley2	254	173	68,11
wiley1	240	175	72,92
Beck	225	211	93,78
pearson1	156	153	98,08
ZDB-117-VRE	153	99	64,71
vr1	153	99	64,71
elsevier2	150	79	52,67
BERC	140	8	5,71
BRYC	124	81	65,32
hueb1	107	51	47,66
Elsevier	106	67	63,21
elsevier1	104	65	62,50
Beltz	95	93	97,89
ZDB-59-BTZ	81	80	98,77
ZDB-221-PDA	80	8	10,00
ZDB-95-BSS	80	21	26,25
Herder	76	58	76,32
ZDB-95-RST	74	31	41,89
iop4	70	1	1,43
ZDB-95-BBS	69	25	36,23
ZDB-128-VUM	65	65	100,00
ZDB-95-LCS	65	21	32,31
iop2	60	4	6,67
iop2020	54	10	18,52
ZDB-173-HPFSP	43	38	88,37
ZDB-33-EGE	33	19	57,58
ZDB-84-KOX	32	31	96,88
ZDB-128-VPM	26	26	100,00
ZDB-128-VIF	25	25	100,00
ZDB-15-ACA	25	5	20,00
ZDB-33-CEN	25	14	56,00
ZDB-54-DHE	24	21	87,50
ZDB-54-DHP	23	20	86,96
ZDB-107-WEW	22	20	90,91
ZDB-219-ORG	22	21	95,45
ZDB-173-HVWSP	21	21	100,00
ZDB-107-WDS	20	17	85,00
tuat	19	0	0,00
ZDB-128-VPL	18	18	100,00
dbw	18	0	0,00
ZDB-173-HMVSP	15	14	93,33
ZDB-219-ODS	15	15	100,00
BeltzLizenz2016	14	14	100,00
ZDB-173-HUNSP	14	14	100,00
ZDB-219-DPR	13	13	100,00
ZDB-219-DPV	13	13	100,00
ZDB-33-COS	11	6	54,55
ZDB-33-FIN	9	8	88,89
ZDB-33-CHM	7	6	85,71
ZDB-33-MSC	7	5	71,43
ZDB-59-BSA	7	6	85,71
ZDB-33-PCH	5	3	60,00
ZDB-59-BPD	5	5	100,00
ZDB-59-BEZ	4	4	100,00
ZDB-59-BPB	3	3	100,00
ZDB-59-TCB	3	3	100,00
ZDB-33-ABS	2	2	100,00
ZDB-33-EGY	2	0	0,00
ZDB-33-MAD	2	1	50,00
ZDB-59-BSO	2	2	100,00
ZDB-22-CAN	1	1	100,00
ZDB-33-EPS	1	0	0,00
ZDB-33-HSC	1	1	100,00
ZDB-33-MTC	1	1	100,00
ZDB-33-PAS	1	1	100,00
ZDB-33-PTP	1	1	100,00
ZDB-59-BPH	1	1	100,00
Total	444859	154615	34,76
